id,url,headline,author,date
1,https://www.theverge.com/2023/3/27/23658536/multiversus-open-beta-shutting-2024-launch,"MultiVersus’ open beta is shutting down, but the game is set to return in 2024",Jay Peters,28-3-2023
2,https://www.theverge.com/2023/3/27/23658317/ios-16-4-new-emoji-safari-web-push-notifications-voice-isolation,"iOS 16.4 is here, and it brings new emoji like a moose and goose to your iPhone",Jay Peters,28-3-2023
3,https://www.theverge.com/2023/3/27/23658385/levis-ai-generated-clothing-model-diversity-denim,Levi’s will test AI-generated clothing models to ‘increase diversity’,Jess Weatherbed,28-3-2023
4,https://www.theverge.com/2023/3/27/23658429/disney-layoffs-first-round-7000,Disney’s first of three rounds of layoffs will start this week,Jay Peters,28-3-2023
5,https://www.theverge.com/,Advertiser Content,,28-3-2023
6,https://www.theverge.com/2023/3/27/23658414/biosphere-first-teaser-trailer,Biosphere’s first trailer turns the end of the world into a bromance,Andrew Webster,28-3-2023
7,https://www.theverge.com/2023/3/27/23658314/binance-changpeng-zhao-crypto-trading-lawsuit-cftc,Feds sue crypto giant Binance and founder Changpeng Zhao,Emma Roth,28-3-2023
8,https://www.theverge.com/23658252/tesla-supercharger-non-tesla-ev-how-to-charge,How to charge your non-Tesla EV at a Tesla Supercharger,Patrick George,28-3-2023
9,https://www.theverge.com/2023/3/27/23655477/hisense-u8h-microsoft-365-target-bogo-samsung-980-ssd-eero-deal-sale,Hisense’s bright yet affordable U8H Mini LED TV is $100 off,Antonio G. Di Benedetto,27-3-2023
10,https://www.theverge.com/2023/3/27/23657976/microsoft-teams-avatars-feature-public-preview,Microsoft Teams now lets you transform into a 3D avatar during meetings,Tom Warren,27-3-2023
11,https://www.theverge.com/2023/3/27/23624186/nintendo-switch-oled-deal-sale,The Nintendo Switch OLED is on sale at Woot,Sheena Vasani,27-3-2023
12,https://www.theverge.com/23654583/gdc-2023-best-indie-games-venba-cart-life,9 cool new games from GDC 2023,Ash Parrish,25-3-2023
13,https://www.theverge.com/2023/3/27/23658177/legend-of-zelda-tears-of-the-kingdom-nintendo-direct-gameplay,Nintendo is showing off ‘roughly 10 minutes’ of Tears of the Kingdom gameplay on March 28th,Andrew Webster,27-3-2023
14,https://www.theverge.com/2023/3/27/23658043/lucid-air-recall-contactor-motor-power-loss-ev,Lucid Motors recalls Lucid Air sedan for a defect that could cause a loss of power,Andrew J. Hawkins,27-3-2023
15,https://www.theverge.com/2023/3/27/23658047/zoom-ai-features-meeting-summaries-mail-calendar,Zoom’s new AI features help you catch up on meetings you’re late to,Emma Roth,27-3-2023
16,https://www.theverge.com/2023/3/27/23657981/ftc-scam-car-extended-warranty-telemarketers-banned,FTC bans scammy companies from ‘calling about your car’s extended warranty’,Jess Weatherbed,27-3-2023
17,https://www.theverge.com/2023/3/27/23657928/twitter-source-code-leak-github,"Twitter says source code was leaked on GitHub, now it’s trying to find the culprit",Jon Porter,27-3-2023
18,https://www.theverge.com/2023/3/26/23657627/microsoft-xbox-game-pass-trial-offer-stopped,Microsoft says it has stopped its Xbox Game Pass $1 trial offer,Tom Warren,27-3-2023
19,https://www.theverge.com/2023/3/26/23657317/apple-headset-launch-employee-concerns,Apple staff reportedly express doubts about mixed-reality headset months ahead of launch,Emma Roth,27-3-2023
